# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Billy Bonker's Tangy Salted Peanut-Butter Wafers,0.16,0.77,0.64,0.35
Billy Bonker's Tangy Bittersweet Chocolate Coated Bar,0.58,0.92,0.36,0.47
Nastly Sour Indulgent Nut Mints,0.87,0.77,0.91,0.5
Billy Bonker's Cheese Fruit Chews,0.11,0.41,0.09,0.29
Nastly Salted Cashew Nonpariels,0.04,0.58,0.96,0.62
Hearsay Sour Sinful Almond Lollipops,0.86,0.72,0.96,0.73
Nastly Tart Semisweet Nugat-Filled Bar,0.63,0.86,0.7,0.42
Nastly Sour Cheese Cashew Bar,0.29,0.97,0.75,0.51
Hearsay Tart Salted Nugat-Filled Bar,0.06,0.71,0.47,0.32
Hearsay Luxurious Semisweet Chocolate Coated Chews,0.62,0.06,0.63,0.14
Nastly Sour Bitter Chocolate Chews,0.24,0.93,0.06,0.01
Nastly Honey Chocolate Coated Lollipops,0.9,0.7,0.38,0.78
Nastly Tangy Semisweet Chocolate Coated Mints,0.45,0.91,0.38,0.58
Hearsay Sour Sinful Peanut-Butter Nonpariels,0.81,0.79,0.66,0.51
Good Ivan's Indulgent Spearmint Wafers,0.95,0.58,0.22,0.34
Nastly Cool Sinful Chocolate Bar,0.74,0.09,0.19,0.3
Nastly Sinful Chocolate Wafers,0.99,0.42,0.29,0.5
Nastly Tangy Sinful Chocolate Coated Candy Sticks,0.99,0.97,0.32,0.96
Nastly Cool Semisweet Wintergreen Candy Sticks,0.62,0.02,0.03,0.81
Nastly Salted Almond Bar,0.19,0.55,0.99,0.63
Good Ivan's Luxurious Bittersweet Nugat-Filled Chews,0.58,0.24,0.68,0.02
Billy Bonker's Tart Indulgent Wintergreen Lollipops,0.83,0.98,0.09,0.94
Hearsay Sour Cheese Caramel Candy Sticks,0.25,0.95,0.16,0.99
Good Ivan's Bitter Cashew Velvet,0.16,0.35,0.81,0.03
Good Ivan's Bitter Spearmint Lollipops,0.1,0.64,0.21,0.98
Hearsay Refreshingly Bittersweet Chocolate Coated Bar,0.65,0.13,0.32,0.39
Hearsay Cool Indulgent Wintergreen Nonpariels,0.77,0.09,0.25,0.32
Good Ivan's Refreshingly Bitter Nugat-Filled Candy Sticks,0.09,0.2,0.33,0.9
Good Ivan's Sour Dark Chocolate Jawbreakers,0.61,0.85,0.09,0.84
Hearsay Indulgent Peanut Fudge,0.87,0.46,1,0.11
Billy Bonker's Sour Semisweet Chocolate Coated Fudge,0.35,0.75,0.36,0.09
Nastly Tart Dark Wintergreen Nonpariels,0.66,0.72,0.06,0.35
Billy Bonker's Sour Indulgent Spearmint Clusters,0.76,0.97,0.24,0.93
Billy Bonker's Sour Semisweet Peanut-Butter Mints,0.7,0.82,0.35,0.6
Nastly Luxurious Semisweet Nut Chews,0.54,0.13,0.74,0.04
Good Ivan's Tangy Indulgent Chocolate Coated Lollipops,0.88,0.86,0.43,0.97
Good Ivan's Sour Honey Nugat-Filled Bar,0.87,0.77,0.6,0.38
Hearsay Cool Salted Peanut-Butter Chews,0.24,0.15,0.69,0.03
Nastly Sour Cheese Caramel Wafers,0.05,0.8,0.28,0.56
Billy Bonker's Luxurious Bitter Peanut-Butter Wafers,0.26,0.06,0.7,0.46
Hearsay Tangy Dark Wintergreen Bar,0.58,0.76,0.26,0.66
Good Ivan's Tart Indulgent Nut Nonpariels,0.8,0.76,0.89,0.4
Nastly Tart Dark Almond Candy Sticks,0.45,0.79,0.79,0.81
Good Ivan's Tangy Sinful Chocolate Coated Bar,0.89,0.72,0.67,0.41
Good Ivan's Tart Bittersweet Nut Wafers,0.7,0.73,0.9,0.34
Nastly Tangy Sinful Cashew Bar,0.8,0.85,0.71,0.47
Hearsay Cool Bittersweet Peanut Jawbreakers,0.39,0.15,0.78,0.74
Billy Bonker's Tart Salted Wintergreen Fudge,0.29,0.82,0.1,0.12
Good Ivan's Tangy Dark Cashew Bar,0.43,0.8,0.74,0.42
Nastly Luxurious Cheese Nut Nonpariels,0.27,0.28,0.78,0.66
Hearsay Refreshingly Sinful Chocolate Wafers,0.79,0.26,0.08,0.68
Billy Bonker's Cool Cheese Peanut-Butter Mints,0.28,0.29,0.48,0.32
Billy Bonker's Sour Semisweet Caramel Nonpariels,0.35,0.94,0.09,0.52
Good Ivan's Tangy Sinful Nut Wafers,0.72,0.95,0.89,0.69
Nastly Tangy Sinful Peanut-Butter Bar,0.8,0.99,0.62,0.65
Good Ivan's Salted Caramel Wafers,0.19,0.38,0.08,0.62
Good Ivan's Tangy Dark Almond Nonpariels,0.7,0.9,0.93,0.49
Good Ivan's Refreshingly Salted Spearmint Candy Sticks,0.08,0.22,0.16,0.8
Billy Bonker's Sinful Spearmint Bar,0.97,0.61,0.29,0.31
Hearsay Sour Cheese Cashew Clusters,0.12,0.98,0.81,0.98
Nastly Luxurious Semisweet Nut Jawbreakers,0.67,0.14,0.99,0.79
Hearsay Luxurious Bittersweet Nut Velvet,0.62,0.02,0.75,0.03
Good Ivan's Tart Semisweet Spearmint Candy Sticks,0.44,0.72,0.03,0.8
Hearsay Refreshingly Cheese Fruit Clusters,0.28,0.23,0.27,0.95
Hearsay Salted Caramel Lollipops,0,0.64,0.11,0.79
Good Ivan's Sour Bittersweet Nugat-Filled Wafers,0.61,0.71,0.62,0.51
Good Ivan's Semisweet Nut Mints,0.38,0.56,0.81,0.65
Billy Bonker's Tart Semisweet Wintergreen Wafers,0.58,0.76,0.02,0.55
Billy Bonker's Honey Walnut Wafers,0.8,0.61,0.87,0.46
Hearsay Cool Dark Walnut Lollipops,0.34,0.26,0.78,0.77
Billy Bonker's Refreshingly Dark Caramel Bar,0.61,0.2,0.28,0.4
Nastly Tangy Honey Almond Wafers,0.83,0.79,0.79,0.61
Nastly Sour Indulgent Spearmint Lollipops,0.72,0.86,0.05,0.86
Nastly Sour Sinful Fruit Nonpariels,0.75,0.8,0.29,0.3
Hearsay Sour Semisweet Nugat-Filled Candy Sticks,0.38,0.91,0.41,0.92
Hearsay Luxurious Indulgent Nut Bar,0.91,0.04,0.82,0.37
Nastly Tangy Semisweet Peanut Mints,0.41,0.84,0.86,0.39
Hearsay Tangy Indulgent Nut Jawbreakers,0.99,0.94,0.82,0.94
Good Ivan's Indulgent Cashew Bar,0.84,0.54,0.76,0.53
Nastly Tangy Salted Peanut Chews,0.22,0.98,0.89,0
Hearsay Sinful Fruit Bar,0.98,0.48,0.17,0.52
Nastly Bitter Wintergreen Chews,0.14,0.37,0.24,0.14
Hearsay Cool Salted Chocolate Jawbreakers,0.12,0.25,0.05,0.76
Nastly Luxurious Bittersweet Spearmint Nonpariels,0.41,0.11,0.12,0.61
Nastly Cool Bittersweet Nugat-Filled Jawbreakers,0.6,0.14,0.67,0.83
Hearsay Tart Salted Nugat-Filled Wafers,0.01,0.91,0.33,0.38
Nastly Sour Bittersweet Peanut Velvet,0.46,0.89,0.76,0.05
Billy Bonker's Cool Bittersweet Almond Nonpariels,0.48,0.03,1,0.3
Nastly Tangy Dark Chocolate Bar,0.67,0.87,0.17,0.7
Billy Bonker's Cool Dark Peanut-Butter Candy Sticks,0.67,0.12,0.64,0.93
Good Ivan's Semisweet Chocolate Jawbreakers,0.5,0.6,0.04,0.74
Good Ivan's Refreshingly Semisweet Walnut Fudge,0.57,0.08,0.76,0.01
Hearsay Dark Peanut Chews,0.3,0.4,0.86,0.02
Nastly Sour Bittersweet Nugat-Filled Nonpariels,0.62,0.99,0.4,0.66
Nastly Tart Indulgent Peanut Wafers,0.94,0.72,0.89,0.68
Hearsay Sour Salted Peanut-Butter Jawbreakers,0.25,0.77,0.54,0.94
Good Ivan's Semisweet Chocolate Velvet,0.68,0.59,0.27,0.14
Billy Bonker's Sour Cheese Caramel Chews,0.27,0.71,0.1,0.18
Good Ivan's Cool Semisweet Cashew Mints,0.31,0.23,0.75,0.31
Hearsay Sour Dark Chocolate Coated Chews,0.37,0.81,0.58,0.01
Nastly Tart Bitter Chocolate Clusters,0.14,0.9,0.23,0.84
Nastly Sour Sinful Caramel Lollipops,0.79,0.82,0.22,0.75
Hearsay Sour Bittersweet Wintergreen Wafers,0.56,0.93,0.06,0.37
Nastly Sour Salted Peanut Bar,0.25,0.97,0.73,0.36
Nastly Refreshingly Dark Chocolate Coated Lollipops,0.66,0.11,0.66,1
Billy Bonker's Tart Honey Chocolate Jawbreakers,0.84,0.76,0.13,0.76
Hearsay Refreshingly Semisweet Nugat-Filled Velvet,0.31,0.24,0.65,0
Good Ivan's Tart Salted Cashew Lollipops,0.06,0.99,0.87,1
Nastly Tart Sinful Wintergreen Candy Sticks,0.81,0.73,0.26,0.77
Billy Bonker's Sinful Fruit Candy Sticks,0.89,0.34,0.1,0.9
Hearsay Cool Bittersweet Almond Clusters,0.5,0.17,0.82,0.78
Good Ivan's Indulgent Peanut Mints,0.86,0.6,0.78,0.57
Billy Bonker's Sinful Spearmint Nonpariels,0.8,0.57,0.11,0.33
Hearsay Cool Dark Cashew Mints,0.32,0.01,0.92,0.4
Good Ivan's Refreshingly Dark Cashew Velvet,0.65,0.25,0.8,0.05
Nastly Semisweet Wintergreen Clusters,0.51,0.32,0.21,0.81
Good Ivan's Tangy Semisweet Peanut-Butter Chews,0.36,0.75,0.57,0.1
Billy Bonker's Cool Bitter Nugat-Filled Fudge,0.06,0.05,0.36,0.2
Nastly Bitter Caramel Jawbreakers,0.22,0.68,0.26,0.89
Hearsay Honey Spearmint Clusters,0.79,0.61,0.24,0.99
Hearsay Tart Indulgent Peanut-Butter Bar,0.86,0.79,0.64,0.66
Nastly Luxurious Dark Almond Chews,0.41,0.27,0.93,0.24
Good Ivan's Semisweet Spearmint Velvet,0.65,0.36,0.18,0.03
Nastly Tart Dark Nugat-Filled Bar,0.64,0.84,0.64,0.43
Good Ivan's Tart Cheese Nugat-Filled Wafers,0.03,0.89,0.33,0.33
Good Ivan's Tart Sinful Spearmint Clusters,0.98,0.78,0.04,0.88
Nastly Cool Semisweet Chocolate Chews,0.38,0.05,0.01,0.13
Good Ivan's Sinful Cashew Wafers,0.9,0.7,0.8,0.57
Good Ivan's Luxurious Indulgent Nut Bar,0.78,0.23,0.85,0.62
Good Ivan's Tangy Sinful Peanut-Butter Lollipops,0.88,0.73,0.36,0.96
Billy Bonker's Sour Indulgent Peanut Mints,0.98,0.96,0.81,0.55
Hearsay Refreshingly Indulgent Nut Wafers,0.74,0.16,0.79,0.4
Hearsay Tangy Sinful Chocolate Coated Wafers,0.84,0.73,0.62,0.31
Hearsay Sour Bitter Fruit Chews,0.21,0.93,0.2,0.02
Good Ivan's Cool Semisweet Nut Lollipops,0.31,0.19,0.96,0.83
Good Ivan's Sour Sinful Chocolate Clusters,0.85,0.8,0.28,0.93
Hearsay Tangy Sinful Chocolate Wafers,0.85,0.81,0.15,0.68
Good Ivan's Indulgent Fruit Clusters,0.78,0.66,0.22,0.9
Nastly Cool Dark Almond Velvet,0.61,0.18,0.94,0.23
Good Ivan's Luxurious Salted Fruit Bar,0.1,0.09,0.1,0.36
Billy Bonker's Cool Semisweet Walnut Candy Sticks,0.55,0.14,0.96,0.86
Good Ivan's Refreshingly Semisweet Peanut Jawbreakers,0.37,0.07,0.72,0.96
Hearsay Refreshingly Bittersweet Almond Candy Sticks,0.44,0.25,0.95,0.78
Hearsay Refreshingly Bittersweet Peanut-Butter Fudge,0.3,0.03,0.39,0.21
Good Ivan's Indulgent Wintergreen Wafers,0.82,0.62,0.02,0.65
Good Ivan's Luxurious Bittersweet Walnut Candy Sticks,0.61,0.01,0.73,0.85
Hearsay Refreshingly Semisweet Cashew Chews,0.59,0.08,0.87,0.26
Billy Bonker's Indulgent Caramel Nonpariels,0.85,0.51,0.12,0.47
Hearsay Refreshingly Bittersweet Chocolate Coated Wafers,0.65,0.08,0.55,0.44
Billy Bonker's Tangy Honey Nugat-Filled Fudge,0.82,0.76,0.41,0.14
Good Ivan's Refreshingly Bittersweet Peanut Fudge,0.5,0.06,0.92,0.14
Billy Bonker's Luxurious Bittersweet Chocolate Coated Wafers,0.54,0.19,0.64,0.65
Good Ivan's Tart Bittersweet Almond Nonpariels,0.64,0.72,0.98,0.48
Billy Bonker's Bittersweet Chocolate Velvet,0.64,0.46,0.11,0.03
Good Ivan's Sour Honey Caramel Jawbreakers,0.74,0.89,0.22,0.95
Nastly Bittersweet Fruit Chews,0.68,0.67,0.24,0.15
Hearsay Cool Honey Fruit Bar,0.98,0.26,0.1,0.36
Good Ivan's Tart Bittersweet Chocolate Coated Clusters,0.56,0.78,0.54,0.75
Billy Bonker's Sour Bittersweet Chocolate Coated Clusters,0.63,0.77,0.62,0.87
Billy Bonker's Tart Dark Peanut-Butter Wafers,0.35,0.85,0.35,0.38
Hearsay Tart Semisweet Nugat-Filled Chews,0.54,0.93,0.48,0.27
Nastly Refreshingly Salted Chocolate Coated Mints,0.09,0.01,0.64,0.4
Billy Bonker's Sour Salted Nugat-Filled Nonpariels,0.15,0.73,0.36,0.37
Nastly Tangy Semisweet Spearmint Fudge,0.66,0.84,0.29,0.25
Hearsay Luxurious Bittersweet Peanut Candy Sticks,0.41,0.26,0.98,0.72
Billy Bonker's Sour Salted Walnut Fudge,0.13,0.99,0.73,0.04
Good Ivan's Luxurious Dark Peanut-Butter Nonpariels,0.68,0.27,0.63,0.41
Good Ivan's Sinful Walnut Bar,1,0.6,0.89,0.51
Nastly Refreshingly Semisweet Cashew Fudge,0.5,0.29,0.83,0.24
Billy Bonker's Cool Bittersweet Walnut Candy Sticks,0.4,0.11,0.97,0.89
Good Ivan's Sour Dark Almond Clusters,0.54,0.85,0.83,0.94
Hearsay Tart Bitter Almond Mints,0.24,0.86,0.72,0.38
Good Ivan's Luxurious Dark Peanut-Butter Mints,0.43,0.08,0.68,0.62
Hearsay Cool Sinful Peanut-Butter Fudge,0.99,0.01,0.69,0.22
Billy Bonker's Refreshingly Bittersweet Peanut Nonpariels,0.45,0.26,0.87,0.68
Nastly Luxurious Bittersweet Chocolate Fudge,0.68,0.11,0.13,0.25
Nastly Cool Salted Nut Nonpariels,0.01,0.14,0.83,0.33
Hearsay Refreshingly Dark Peanut-Butter Mints,0.63,0.1,0.62,0.67
Hearsay Tangy Semisweet Wintergreen Bar,0.59,0.84,0.06,0.63
Nastly Refreshingly Salted Peanut Fudge,0.26,0.28,0.74,0.19
Billy Bonker's Refreshingly Semisweet Nut Fudge,0.42,0.19,0.93,0.1
Billy Bonker's Tart Semisweet Caramel Candy Sticks,0.7,0.76,0.04,0.81
Hearsay Cool Semisweet Peanut Lollipops,0.38,0.27,0.97,0.75
Nastly Tangy Bittersweet Caramel Nonpariels,0.41,0.73,0.2,0.41
Hearsay Luxurious Indulgent Chocolate Fudge,0.81,0.28,0.16,0.03
Billy Bonker's Luxurious Cheese Chocolate Coated Clusters,0.09,0.08,0.47,0.75
Nastly Tart Honey Peanut-Butter Wafers,0.93,0.76,0.5,0.56
Nastly Tart Dark Peanut-Butter Velvet,0.58,0.91,0.68,0.2
Billy Bonker's Bittersweet Peanut Chews,0.64,0.32,0.75,0.02
Nastly Tart Semisweet Peanut Velvet,0.38,0.96,0.9,0.22
Billy Bonker's Sour Indulgent Nut Velvet,0.71,0.86,0.91,0.25
Good Ivan's Refreshingly Bittersweet Cashew Clusters,0.61,0.03,0.82,0.79
Billy Bonker's Tangy Bittersweet Wintergreen Bar,0.59,0.91,0.18,0.64
Hearsay Luxurious Sinful Nut Mints,0.97,0.03,0.71,0.33
Hearsay Indulgent Fruit Clusters,0.87,0.69,0.09,0.85
Hearsay Luxurious Dark Chocolate Coated Candy Sticks,0.42,0.15,0.57,0.8
Hearsay Tangy Honey Chocolate Mints,0.93,0.91,0.18,0.63
Nastly Tart Honey Peanut-Butter Mints,0.92,0.72,0.38,0.62
Billy Bonker's Cool Semisweet Nugat-Filled Fudge,0.49,0.11,0.37,0.02
Hearsay Indulgent Chocolate Nonpariels,0.72,0.48,0.25,0.35
Good Ivan's Sour Dark Spearmint Wafers,0.41,0.73,0.22,0.45
Nastly Sour Semisweet Wintergreen Bar,0.39,0.79,0.09,0.58
Hearsay Sour Semisweet Fruit Candy Sticks,0.69,0.79,0.1,0.97
Good Ivan's Indulgent Chocolate Coated Jawbreakers,0.92,0.44,0.44,0.8
Billy Bonker's Tart Indulgent Spearmint Mints,0.71,0.97,0.28,0.63
Hearsay Luxurious Dark Caramel Chews,0.32,0.01,0.29,0.07
Hearsay Luxurious Sinful Nut Fudge,0.74,0.16,0.82,0.18
Good Ivan's Bitter Caramel Chews,0.15,0.53,0.09,0.28
Billy Bonker's Tangy Indulgent Nugat-Filled Lollipops,0.74,0.76,0.52,0.83
Hearsay Sour Bittersweet Chocolate Mints,0.59,0.77,0.24,0.62
Billy Bonker's Dark Chocolate Chews,0.64,0.43,0.23,0.07
Billy Bonker's Cheese Chocolate Chews,0.14,0.44,0.09,0.04
Billy Bonker's Indulgent Nugat-Filled Lollipops,0.85,0.34,0.59,0.76
Good Ivan's Tangy Sinful Spearmint Lollipops,1,0.76,0.07,0.95
Good Ivan's Sour Bittersweet Nugat-Filled Fudge,0.55,0.95,0.34,0.19
Billy Bonker's Salted Spearmint Bar,0.11,0.61,0.29,0.6
Good Ivan's Cheese Wintergreen Bar,0.15,0.37,0.26,0.68
Hearsay Tart Indulgent Chocolate Coated Bar,0.76,0.95,0.69,0.52
Good Ivan's Indulgent Chocolate Bar,0.77,0.34,0.01,0.68
Billy Bonker's Tangy Sinful Nut Mints,0.77,0.91,0.79,0.44
Nastly Tangy Semisweet Nut Mints,0.67,0.72,0.76,0.33
Good Ivan's Refreshingly Indulgent Chocolate Lollipops,0.92,0.23,0.06,0.96
Nastly Tangy Honey Nugat-Filled Wafers,0.78,0.93,0.63,0.34
Good Ivan's Refreshingly Dark Cashew Nonpariels,0.36,0.03,0.94,0.48
Nastly Refreshingly Honey Chocolate Jawbreakers,0.93,0.18,0.02,0.83
Billy Bonker's Tangy Salted Nugat-Filled Lollipops,0.09,0.79,0.61,1
Nastly Sour Semisweet Spearmint Jawbreakers,0.7,0.94,0.03,0.8
Good Ivan's Bittersweet Spearmint Chews,0.58,0.49,0.08,0.15
Hearsay Sour Bittersweet Peanut Wafers,0.63,0.99,0.94,0.64
Billy Bonker's Sour Bittersweet Chocolate Mints,0.5,0.9,0.22,0.65
Hearsay Cool Dark Caramel Fudge,0.41,0.27,0.24,0.12
Good Ivan's Tangy Dark Almond Bar,0.69,0.86,0.75,0.62
Nastly Honey Spearmint Wafers,0.95,0.68,0.22,0.32
Nastly Tangy Dark Chocolate Wafers,0.49,0.93,0.02,0.61
Billy Bonker's Refreshingly Bittersweet Cashew Wafers,0.53,0.12,0.92,0.61
Good Ivan's Cool Honey Almond Nonpariels,0.86,0.14,0.95,0.44
Good Ivan's Sour Sinful Peanut-Butter Wafers,0.74,0.79,0.68,0.52
Good Ivan's Indulgent Cashew Jawbreakers,0.98,0.48,0.96,0.82
Hearsay Honey Walnut Velvet,0.99,0.37,0.9,0.28
Billy Bonker's Tangy Salted Caramel Chews,0.26,0.74,0.25,0.12
Hearsay Semisweet Chocolate Chews,0.6,0.59,0.03,0
Billy Bonker's Cool Semisweet Cashew Mints,0.6,0.27,0.87,0.39
Good Ivan's Cool Dark Almond Lollipops,0.3,0.22,0.81,0.74
Billy Bonker's Tangy Dark Caramel Nonpariels,0.48,0.92,0.06,0.57
Good Ivan's Refreshingly Salted Nugat-Filled Bar,0.1,0.02,0.4,0.31
Good Ivan's Tangy Cheese Caramel Velvet,0.18,0.85,0.15,0.28
Hearsay Sour Indulgent Chocolate Coated Lollipops,0.75,0.89,0.55,0.75
Hearsay Tangy Bittersweet Caramel Velvet,0.41,0.94,0.25,0.06
Good Ivan's Cool Bittersweet Walnut Lollipops,0.6,0.2,0.82,0.85
Good Ivan's Cool Dark Walnut Jawbreakers,0.69,0.05,0.97,0.98
Billy Bonker's Refreshingly Semisweet Cashew Candy Sticks,0.69,0.08,0.88,0.95
Nastly Cool Bittersweet Peanut-Butter Chews,0.67,0.22,0.68,0.03
Nastly Tart Honey Nugat-Filled Fudge,0.75,0.81,0.47,0.27
Nastly Luxurious Salted Spearmint Mints,0.29,0.19,0.15,0.37
Nastly Tangy Dark Peanut Lollipops,0.32,0.74,0.93,0.76
Good Ivan's Semisweet Fruit Candy Sticks,0.69,0.46,0.11,1
Hearsay Bittersweet Caramel Jawbreakers,0.59,0.38,0,0.98
Hearsay Cool Bittersweet Peanut-Butter Lollipops,0.61,0.01,0.67,0.99
Good Ivan's Luxurious Dark Peanut Lollipops,0.47,0.2,0.79,0.78
Nastly Cool Semisweet Cashew Chews,0.62,0.05,0.87,0.25
Nastly Tart Indulgent Peanut-Butter Mints,0.71,0.95,0.69,0.31
Hearsay Sour Sinful Peanut-Butter Lollipops,0.92,0.79,0.57,0.73
Nastly Sinful Chocolate Coated Lollipops,0.71,0.63,0.58,0.77
Hearsay Tangy Sinful Chocolate Lollipops,0.74,0.72,0.08,0.78
Good Ivan's Honey Chocolate Clusters,0.71,0.4,0.07,0.99
Nastly Tangy Indulgent Peanut Mints,0.92,0.99,0.96,0.39
Billy Bonker's Tangy Indulgent Chocolate Coated Chews,0.73,0.96,0.37,0.18
Good Ivan's Dark Wintergreen Velvet,0.68,0.57,0.05,0.07
Good Ivan's Refreshingly Semisweet Peanut-Butter Fudge,0.34,0.16,0.68,0.22
Good Ivan's Tart Semisweet Caramel Fudge,0.54,0.86,0.23,0.06
Good Ivan's Tangy Dark Caramel Mints,0.41,0.9,0.05,0.34
Billy Bonker's Luxurious Dark Peanut Fudge,0.44,0.08,0.9,0.28
Billy Bonker's Luxurious Bitter Walnut Wafers,0.08,0.05,0.89,0.63
Good Ivan's Cool Semisweet Almond Candy Sticks,0.4,0.01,0.93,0.71
Good Ivan's Indulgent Chocolate Mints,0.78,0.64,0.11,0.33
Good Ivan's Tart Semisweet Caramel Clusters,0.5,0.81,0,0.79
Nastly Honey Nugat-Filled Jawbreakers,0.77,0.63,0.37,0.91
Good Ivan's Tangy Indulgent Nugat-Filled Bar,0.74,0.76,0.33,0.62
Hearsay Luxurious Indulgent Peanut Lollipops,0.77,0.18,0.94,0.84
Good Ivan's Tart Indulgent Caramel Bar,0.83,0.88,0.15,0.63
Good Ivan's Sour Semisweet Cashew Chews,0.57,0.95,0.71,0.01
Hearsay Luxurious Bittersweet Fruit Fudge,0.61,0.27,0.2,0.16
Nastly Tangy Semisweet Nugat-Filled Chews,0.32,0.89,0.3,0.06
Nastly Dark Fruit Fudge,0.36,0.62,0.28,0.18
Billy Bonker's Salted Peanut Velvet,0.17,0.62,0.91,0.1
Nastly Tangy Honey Chocolate Coated Wafers,0.94,0.72,0.67,0.52
Good Ivan's Bittersweet Fruit Lollipops,0.49,0.38,0.06,0.85
Hearsay Cool Bitter Chocolate Bar,0.03,0.1,0.22,0.46
Nastly Sour Salted Almond Candy Sticks,0.1,0.82,0.95,0.79
Nastly Cool Semisweet Nugat-Filled Fudge,0.62,0.12,0.65,0.14
Good Ivan's Tart Semisweet Wintergreen Lollipops,0.6,0.76,0.25,0.86
Nastly Tangy Semisweet Chocolate Coated Velvet,0.37,0.83,0.66,0.17
Hearsay Tart Bittersweet Cashew Lollipops,0.5,0.99,0.77,0.95
Good Ivan's Refreshingly Dark Almond Chews,0.66,0.23,0.78,0.18
Hearsay Bitter Fruit Velvet,0.13,0.62,0,0.09
Billy Bonker's Luxurious Bittersweet Cashew Velvet,0.41,0.17,0.96,0.14
Nastly Cool Semisweet Chocolate Wafers,0.62,0.28,0.06,0.5
Nastly Sinful Caramel Bar,0.9,0.67,0.12,0.32
Good Ivan's Sour Indulgent Caramel Chews,0.99,0.79,0.16,0.01
Nastly Refreshingly Bittersweet Cashew Mints,0.43,0.18,0.83,0.62
Nastly Sour Honey Almond Nonpariels,0.9,0.87,0.74,0.63
Hearsay Sour Salted Peanut-Butter Clusters,0.04,0.86,0.67,0.87
Good Ivan's Tangy Dark Nugat-Filled Bar,0.7,0.87,0.68,0.4
Billy Bonker's Sour Dark Chocolate Coated Nonpariels,0.38,0.82,0.51,0.36
Nastly Luxurious Indulgent Caramel Candy Sticks,0.75,0,0.21,0.84
Billy Bonker's Tangy Bitter Peanut Fudge,0.06,0.83,0.84,0.12
Billy Bonker's Cheese Nut Wafers,0.01,0.5,1,0.67
Billy Bonker's Tangy Indulgent Chocolate Coated Candy Sticks,0.96,0.73,0.38,0.98
Good Ivan's Refreshingly Dark Walnut Mints,0.45,0.15,0.73,0.63
Good Ivan's Luxurious Bittersweet Almond Mints,0.66,0.29,0.72,0.68
Hearsay Sour Indulgent Wintergreen Jawbreakers,0.92,0.75,0.21,0.77
Billy Bonker's Tangy Bitter Nut Nonpariels,0.23,0.82,0.77,0.7
Good Ivan's Bitter Wintergreen Velvet,0.03,0.62,0.13,0.04
Hearsay Luxurious Dark Chocolate Coated Wafers,0.61,0.16,0.48,0.57
Hearsay Cool Cheese Walnut Nonpariels,0.26,0.02,0.75,0.57
Billy Bonker's Tart Honey Peanut-Butter Wafers,0.86,0.83,0.65,0.7
Nastly Cool Semisweet Cashew Wafers,0.49,0.1,0.73,0.34
Hearsay Semisweet Caramel Fudge,0.57,0.37,0.02,0.24
Hearsay Cool Bittersweet Nut Candy Sticks,0.33,0.17,0.85,0.82
Billy Bonker's Tart Bitter Chocolate Coated Bar,0.23,0.97,0.46,0.33
Billy Bonker's Cool Bittersweet Cashew Mints,0.36,0.28,0.92,0.62
Nastly Semisweet Chocolate Lollipops,0.52,0.4,0.14,0.73
Nastly Tangy Dark Caramel Wafers,0.33,0.86,0.03,0.59
Good Ivan's Tangy Semisweet Peanut-Butter Bar,0.37,0.78,0.69,0.33
Billy Bonker's Tart Bittersweet Nugat-Filled Velvet,0.54,0.84,0.55,0.16
Good Ivan's Cool Dark Caramel Chews,0.44,0.21,0.06,0.07
Billy Bonker's Sour Indulgent Walnut Wafers,0.9,0.84,0.94,0.68
Billy Bonker's Cool Semisweet Cashew Candy Sticks,0.44,0.27,0.75,0.89
Hearsay Luxurious Bitter Wintergreen Fudge,0.05,0.18,0.11,0.15
Nastly Cheese Spearmint Mints,0.2,0.32,0.09,0.5
Billy Bonker's Sour Sinful Chocolate Coated Nonpariels,0.78,0.73,0.63,0.35
Nastly Refreshingly Bitter Spearmint Wafers,0.08,0.12,0.06,0.6
Good Ivan's Luxurious Bittersweet Wintergreen Fudge,0.55,0.29,0.15,0.06
Hearsay Refreshingly Semisweet Walnut Wafers,0.64,0.21,0.97,0.6
Billy Bonker's Tangy Salted Cashew Clusters,0.09,0.98,0.9,0.98
Good Ivan's Sour Bittersweet Chocolate Coated Mints,0.68,0.71,0.36,0.69
Hearsay Tart Semisweet Wintergreen Mints,0.33,0.87,0.09,0.51
Billy Bonker's Semisweet Spearmint Chews,0.62,0.4,0.07,0.09
Billy Bonker's Cool Bittersweet Caramel Chews,0.64,0.18,0.22,0.27
Billy Bonker's Semisweet Cashew Chews,0.57,0.38,0.94,0.16
Good Ivan's Honey Chocolate Wafers,0.94,0.48,0.23,0.53
Hearsay Sinful Spearmint Bar,0.89,0.31,0.22,0.34
Nastly Bitter Wintergreen Wafers,0.17,0.3,0.28,0.32
Billy Bonker's Sour Bittersweet Spearmint Bar,0.55,0.77,0.25,0.39
Billy Bonker's Tangy Bittersweet Caramel Candy Sticks,0.39,0.85,0.07,0.92
Nastly Luxurious Honey Nugat-Filled Lollipops,0.82,0.06,0.51,0.89
Billy Bonker's Luxurious Dark Nugat-Filled Wafers,0.58,0.24,0.69,0.69
Hearsay Sour Cheese Nugat-Filled Nonpariels,0.26,0.84,0.65,0.38
Billy Bonker's Bittersweet Walnut Fudge,0.41,0.33,0.91,0.25
